"Median value of owner-occupied housing units, 2012-2016","","$328,600","","$442,000","","$104,300","","$696,000","","$155,500","","$141,600",""
"Median selected monthly owner costs -with a mortgage, 2012-2016","","$2,157","","$2,753","","$1,326","","$3,363","","$1,406","","$1,420",""
"Median selected monthly owner costs -without a mortgage, 2012-2016","","$822","","$794","","$302","","$1,240","","$444","","$397",""
"Median gross rent, 2012-2016","","$1,806","","$1,428","","$959","","$1,412","","$1,025","","$1,089",""
"Building permits, 2016","","X","","X","","X","","X","","X","","X",""
"Households, 2012-2016","","15,799","","3,418","","2,862","","17,980","","14,189","","31,487",""
"Persons per household, 2012-2016","","3.38","","2.88","","4.21","","2.55","","3.06","","3.52",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2012-2016","","82.2%","","88.3%","","80.3%","","80.0%","","87.3%","","90.1%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2012-2016","","92.0%","","40.2%","","55.4%","","58.9%","","68.1%","","31.2%",""
"High school graduate or higher, percent of persons age 25 years+, 2012-2016","","95.3%","","94.6%","","59.1%","","95.4%","","80.8%","","79.9%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2012-2016","","53.8%","","49.2%","","6.0%","","61.8%","","20.6%","","14.7%",""
"With a disability, under age 65 years, percent, 2012-2016","","2.5%","","4.2%","","17.9%","","4.2%","","5.8%","","7.0%",""
"Persons  without health insurance, under age 65 years, percent","","21.1%","","12.4%","","29.4%","","9.9%","","36.0%","","26.7%",""
"In civilian labor force, total, percent of population age 16 years+, 2012-2016","","67.1%","","68.1%","","56.8%","","60.5%","","65.2%","","60.9%",""
"In civilian labor force, female, percent of population age 16 years+, 2012-2016","","58.4%","","59.4%","","52.4%","","53.0%","","60.2%","","58.0%",""
"Total accommodation and food services sales, 2012 ($1,000)","(c)","320,600","","14,023","","40,287","","363,596","","98,129","","90,989",""
"Total health care and social assistance receipts/revenue, 2012 ($1,000)","(c)","282,275","","25,278","","18,890","","1,074,123","","675,874","","174,065",""
"Total manufacturers shipments, 2012 ($1,000)","(c)","533,098","","X","","D","","D","","D","","338,256",""
"Total merchant wholesaler sales, 2012 ($1,000)","(c)","31,206,326","","33,499","","107,844","","9,268,116","","76,657","","2,120,383",""
"Total retail sales, 2012 ($1,000)","(c)","2,137,080","","150,558","","333,273","","1,556,562","","1,125,282","","1,685,567",""
"Total retail sales per capita, 2012","(c)","$44,399","","$14,192","","$27,976","","$31,502","","$26,187","","$15,219",""
"Mean travel time to work (minutes), workers age 16 years+, 2012-2016","","27.0","","26.7","","36.8","","24.2","","31.8","","31.2",""
"Median household income (in 2016 dollars), 2012-2016","","$74,174","","$101,047","","$26,828","","$91,452","","$38,058","","$39,012",""
"Per capita income in past 12 months (in 2016 dollars), 2012-2016","","$27,904","","$42,976","","$9,391","","$58,309","","$19,850","","$17,265",""
"Persons in poverty, percent","","13.0%","","6.5%","","48.1%","","7.5%","","22.2%","","23.4%",""
"Total employer establishments, 2015","","X","","X","","X","","X","","X","","X",""
"Total employment, 2015","","X","","X","","X","","X","","X","","X",""
"Total annual payroll, 2015 ($1,000)","","X","","X","","X","","X","","X","","X",""
"Total employment, percent change, 2014-2015","","X","","X","","X","","X","","X","","X",""
"Total nonemployer establishments, 2015","","X","","X","","X","","X","","X","","X",""
"All firms, 2012","","14,789","","1,579","","1,359","","13,218","","7,974","","13,444",""
"Men-owned firms, 2012","","7,281","","840","","583","","7,283","","4,162","","5,947",""
"Women-owned firms, 2012","","4,996","","590","","630","","3,609","","3,013","","6,767",""
"Minority-owned firms, 2012","","11,499","","796","","1,119","","7,846","","5,203","","12,080",""
"Nonminority-owned firms, 2012","","2,252","","744","","156","","4,070","","2,386","","1,034",""
"Veteran-owned firms, 2012","","550","","78","","90","","714","","578","","937",""
"Nonveteran-owned firms, 2012","","13,398","","1,445","","1,177","","11,568","","7,140","","12,233",""
"Population per square mile, 2010","","3,293.5","","4,192.2","","1,888.6","","3,621.3","","8,602.2","","5,878.3",""
"Land area in square miles, 2010","","13.88","","2.50","","5.95","","12.92","","4.83","","18.23",""
"FIPS Code","","""1217935""","","""1245175""","","""1222975""","","""1214250""","","""1249475""","","""1245060""",""
"","","","","","","","","","","","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Value Notes","","","","","","","","","","","","",""
"None","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Fact Notes","","","","","","","","","","","","",""
"(a)","Includes persons reporting only one race","","","","","","","","","","","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","","","","","","","","","","","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Value Flags","","","","","","","","","","","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","","","","","","","","","","","",""
"D","Suppressed to avoid disclosure of confidential information","","","","","","","","","","","",""
"F","Fewer than 25 firms","","","","","","","","","","","",""
"FN","Footnote on this item in place of data","","","","","","","","","","","",""
"NA","Not available","","","","","","","","","","","",""
"S","Suppressed; does not meet publication standards","","","","","","","","","","","",""
"X","Not applicable","","","","","","","","","","","",""
"Z","Value greater than zero but less than half unit of measure shown","","","","","","","","","","","",""
