"White alone, percent, July 1, 2016,  (V2016)","(a)","X","","X","","X","","X","","X","","X",""
"Black or African American alone, percent, July 1, 2016,  (V2016)","(a)","X","","X","","X","","X","","X","","X",""
"American Indian and Alaska Native alone, percent, July 1, 2016,  (V2016)","(a)","X","","X","","X","","X","","X","","X",""
"Asian alone, percent, July 1, 2016,  (V2016)","(a)","X","","X","","X","","X","","X","","X",""
"Native Hawaiian and Other Pacific Islander alone, percent, July 1, 2016,  (V2016)","(a)","X","","X","","X","","X","","X","","X",""
"Two or More Races, percent, July 1, 2016,  (V2016)","","X","","X","","X","","X","","X","","X",""
"Hispanic or Latino, percent, July 1, 2016,  (V2016)","(b)","X","","X","","X","","X","","X","","X",""
"White alone, not Hispanic or Latino, percent, July 1, 2016,  (V2016)","","X","","X","","X","","X","","X","","X",""
"Veterans, 2012-2016","","2,460","","136","","2,454","","566","","108","","812",""
"Foreign born persons, percent, 2012-2016","","34.4%","","74.6%","","53.0%","","51.2%","","43.5%","","34.7%",""
"Housing units,  July 1, 2016,  (V2016)","","X","","X","","X","","X","","X","","X",""
"Housing units, April 1, 2010","","23,419","","4,195","","67,499","","5,361","","3,890","","6,619",""
"Owner-occupied housing unit rate, 2012-2016","","38.1%","","38.6%","","37.2%","","57.1%","","55.0%","","76.7%",""
"Median value of owner-occupied housing units, 2012-2016","","$141,300","","$118,100","","$398,600","","$297,200","","$561,900","","$840,900",""
"Median selected monthly owner costs -with a mortgage, 2012-2016","","$1,446","","$1,284","","$2,570","","$2,182","","$3,073","","$3,845",""
"Median selected monthly owner costs -without a mortgage, 2012-2016","","$575","","$443","","$974","","$578","","$1,334","","$1,293",""
"Median gross rent, 2012-2016","","$1,084","","$1,194","","$1,198","","$972","","$1,995","","$1,313",""
"Building permits, 2016","","X","","X","","X","","X","","X","","X",""
"Households, 2012-2016","","19,201","","5,622","","44,190","","4,968","","2,275","","6,060",""
"Persons per household, 2012-2016","","3.40","","3.67","","2.05","","2.84","","2.55","","3.18",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2012-2016","","79.7%","","85.0%","","78.4%","","89.1%","","83.0%","","91.2%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2012-2016","","60.6%","","96.3%","","68.3%","","76.5%","","63.8%","","55.7%",""
"High school graduate or higher, percent of persons age 25 years+, 2012-2016","","73.5%","","63.0%","","88.0%","","87.6%","","94.7%","","95.4%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2012-2016","","18.7%","","17.9%","","45.1%","","30.8%","","61.3%","","61.7%",""
"With a disability, under age 65 years, percent, 2012-2016","","10.6%","","5.6%","","4.3%","","4.1%","","2.8%","","3.8%",""
"Persons  without health insurance, under age 65 years, percent","","27.9%","","33.9%","","26.7%","","23.9%","","9.8%","","8.6%",""
"In civilian labor force, total, percent of population age 16 years+, 2012-2016","","64.2%","","59.2%","","68.6%","","66.9%","","57.0%","","63.6%",""
"In civilian labor force, female, percent of population age 16 years+, 2012-2016","","59.7%","","50.7%","","61.4%","","59.0%","","50.8%","","53.7%",""
"Total accommodation and food services sales, 2012 ($1,000)","(c)","102,521","","23,421","","2,085,866","","63,695","","24,775","","20,840",""
"Total health care and social assistance receipts/revenue, 2012 ($1,000)","(c)","368,734","","D","","912,838","","51,151","","10,000","","D",""
"Total manufacturers shipments, 2012 ($1,000)","(c)","D","","1,771","","13,409","","2,697","","D","","X",""
"Total merchant wholesaler sales, 2012 ($1,000)","(c)","179,115","","303,480","","275,554","","40,294","","24,105","","44,967",""
"Total retail sales, 2012 ($1,000)","(c)","656,345","","579,529","","1,556,800","","51,940","","80,902","","116,193",""
"Total retail sales per capita, 2012","(c)","$10,387","","$28,179","","$17,185","","$3,650","","$13,657","","$6,152",""
"Mean travel time to work (minutes), workers age 16 years+, 2012-2016","","35.6","","31.2","","26.2","","25.3","","31.6","","29.1",""
"Median household income (in 2016 dollars), 2012-2016","","$40,452","","$33,741","","$47,216","","$54,750","","$72,266","","$130,900",""
"Per capita income in past 12 months (in 2016 dollars), 2012-2016","","$17,454","","$14,680","","$49,018","","$28,999","","$43,601","","$69,931",""
"Persons in poverty, percent","","28.6%","","25.1%","","16.7%","","12.0%","","6.7%","","5.4%",""
"Total employer establishments, 2015","","X","","X","","X","","X","","X","","X",""
"Total employment, 2015","","X","","X","","X","","X","","X","","X",""
"Total annual payroll, 2015 ($1,000)","","X","","X","","X","","X","","X","","X",""
"Total employment, percent change, 2014-2015","","X","","X","","X","","X","","X","","X",""
"Total nonemployer establishments, 2015","","X","","X","","X","","X","","X","","X",""
"All firms, 2012","","8,186","","4,078","","19,592","","2,228","","1,302","","3,122",""
"Men-owned firms, 2012","","3,468","","2,002","","10,465","","1,183","","640","","1,406",""
"Women-owned firms, 2012","","4,010","","1,790","","7,033","","875","","393","","1,218",""
"Minority-owned firms, 2012","","6,828","","3,816","","10,115","","1,757","","568","","1,274",""
"Nonminority-owned firms, 2012","","1,155","","199","","8,723","","375","","702","","1,642",""
"Veteran-owned firms, 2012","","375","","204","","1,038","","130","","127","","242",""
"Nonveteran-owned firms, 2012","","7,571","","3,823","","17,855","","2,068","","1,132","","2,762",""
"Population per square mile, 2010","","3,996.8","","17,022.7","","11,510.5","","4,794.8","","10,059.5","","2,449.0",""
"Land area in square miles, 2010","","15.14","","0.79","","7.63","","2.88","","0.57","","7.44",""
"FIPS Code","","""1232275""","","""1270345""","","""1245025""","","""1245200""","","""1270075""","","""1256625""",""
"","","","","","","","","","","","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Value Notes","","","","","","","","","","","","",""
"None","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Fact Notes","","","","","","","","","","","","",""
"(a)","Includes persons reporting only one race","","","","","","","","","","","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","","","","","","","","","","","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Value Flags","","","","","","","","","","","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","","","","","","","","","","","",""
"D","Suppressed to avoid disclosure of confidential information","","","","","","","","","","","",""
"F","Fewer than 25 firms","","","","","","","","","","","",""
"FN","Footnote on this item in place of data","","","","","","","","","","","",""
"NA","Not available","","","","","","","","","","","",""
"S","Suppressed; does not meet publication standards","","","","","","","","","","","",""
"X","Not applicable","","","","","","","","","","","",""
"Z","Value greater than zero but less than half unit of measure shown","","","","","","","","","","","",""
