"Fact","Fact Note","Cutler Bay town, Florida","Value Note for Cutler Bay town, Florida","Hialeah city, Florida","Value Note for Hialeah city, Florida","Miami city, Florida","Value Note for Miami city, Florida","Miami-Dade County, Florida","Value Note for Miami-Dade County, Florida","South Miami city, Florida","Value Note for South Miami city, Florida","UNITED STATES","Value Note for UNITED STATES"
"High school graduate or higher, percent of persons age 25 years+, 2012-2016","","88.6%","","70.5%","","74.2%","","80.6%","","92.1%","","87.0%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2012-2016","","32.2%","","13.3%","","25.0%","","27.3%","","47.3%","","30.3%",""
"With a disability, under age 65 years, percent, 2012-2016","","7.4%","","6.0%","","7.2%","","6.0%","","5.7%","","8.6%",""
"Persons  without health insurance, under age 65 years, percent","","17.0%","","35.1%","","31.9%","","21.2%","","20.7%","","10.1%",""
"In civilian labor force, total, percent of population age 16 years+, 2012-2016","","66.5%","","57.1%","","61.5%","","62.0%","","66.3%","","63.1%",""
"In civilian labor force, female, percent of population age 16 years+, 2012-2016","","60.7%","","49.8%","","55.2%","","56.1%","","61.0%","","58.3%",""
"Total accommodation and food services sales, 2012 ($1,000)","(c)","D","","238,127","","1,914,860","","7,696,552","","62,502","","708,138,598",""
"Total health care and social assistance receipts/revenue, 2012 ($1,000)","(c)","120,808","","1,242,074","","5,732,065","","17,547,353","","305,528","","2,040,441,203",""
"Total manufacturers shipments, 2012 ($1,000)","(c)","D","","837,426","","887,297","","7,192,924","","1,358","","5,696,729,632",""
"Total merchant wholesaler sales, 2012 ($1,000)","(c)","26,723","","1,380,458","","7,906,794","","78,985,394","","56,100","","5,208,023,478",""
"Total retail sales, 2012 ($1,000)","(c)","546,052","","2,455,980","","6,476,258","","38,361,231","","198,373","","4,219,821,871",""
"Total retail sales per capita, 2012","(c)","$12,933","","$10,589","","$15,647","","$14,805","","$16,493","","$13,443",""
"Mean travel time to work (minutes), workers age 16 years+, 2012-2016","","39.2","","24.8","","27.7","","30.6","","27.5","","26.1",""
"Median household income (in 2016 dollars), 2012-2016","","$66,929","","$29,817","","$31,642","","$44,224","","$60,519","","$55,322",""
"Per capita income in past 12 months (in 2016 dollars), 2012-2016","","$25,102","","$14,599","","$23,498","","$24,515","","$37,482","","$29,829",""
"Persons in poverty, percent","","10.6%","","26.2%","","27.6%","","18.2%","","13.6%","","12.7%",""
"Total employer establishments, 2015","","X","","X","","X","","82,293","","X","","7,663,938",""
"Total employment, 2015","","X","","X","","X","","949,355","","X","","124,085,947",""
"Total annual payroll, 2015 ($1,000)","","X","","X","","X","","44,834,611","","X","","6,253,488,252",""
"Total employment, percent change, 2014-2015","","X","","X","","X","","3.2%","","X","","2.5%",""
"Total nonemployer establishments, 2015","","X","","X","","X","","462,297","","X","","24,331,403",""
"All firms, 2012","","5,941","","48,274","","98,222","","468,185","","2,687","","27,626,360",""
"Men-owned firms, 2012","","3,133","","25,462","","49,530","","239,190","","1,362","","14,844,597",""
"Women-owned firms, 2012","","2,379","","19,341","","39,762","","187,379","","966","","9,878,397",""
"Minority-owned firms, 2012","","4,438","","45,245","","77,125","","371,158","","1,622","","7,952,386",""
"Nonminority-owned firms, 2012","","1,295","","2,227","","17,148","","83,563","","943","","18,987,918",""
"Veteran-owned firms, 2012","","284","","2,181","","5,288","","25,461","","87","","2,521,682",""
"Nonveteran-owned firms, 2012","","5,503","","45,376","","89,984","","432,417","","2,468","","24,070,685",""
"Population per square mile, 2010","","4,096.2","","10,474.1","","11,135.9","","1,315.5","","5,137.5","","87.4",""
"Land area in square miles, 2010","","9.84","","21.45","","35.87","","1,897.72","","2.27","","3,531,905.43",""
"FIPS Code","","""1215968""","","""1230000""","","""1245000""","","""12086""","","""1267550""","","""00""",""
"","","","","","","","","","","","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Value Notes","","","","","","","","","","","","",""
"None","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Fact Notes","","","","","","","","","","","","",""
"(a)","Includes persons reporting only one race","","","","","","","","","","","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","","","","","","","","","","","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Value Flags","","","","","","","","","","","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","","","","","","","","","","","",""
"D","Suppressed to avoid disclosure of confidential information","","","","","","","","","","","",""
"F","Fewer than 25 firms","","","","","","","","","","","",""
"FN","Footnote on this item in place of data","","","","","","","","","","","",""
"NA","Not available","","","","","","","","","","","",""
"S","Suppressed; does not meet publication standards","","","","","","","","","","","",""
"X","Not applicable","","","","","","","","","","","",""
"Z","Value greater than zero but less than half unit of measure shown","","","","","","","","","","","",""
